@@,item,name,party,partylabel,region,regionlabel
->,Q111355834,Abbo Hamadou,Q953447,RDPC,Q502341,Province du Nord->Nord
->,Q95725544,Aboubakary Abdoulaye,Q953447,RDPC,Q502341,Province du Nord->Nord
->,Q111355836,Agnès Ndode Ntube,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q2840847,Amadou Ali,,,Q502341,Province du Nord->Nord
->,Q111355838,Andrew Moffa Otte,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355844,Calvin Zang Oyono,,,Q857122,Région du Sud->Sud
->,Q111355845,Charles Mbella Moki,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q63224523,Claude Kemayou,,,Q165784->Q845172,Ouest->Littoral
->,Q111355848,Daniel Matute,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355850,David Wallang,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q43458360,Delphine Medjo,,,Q857122,Région du Sud->Sud
->,Q111355853,Emma Eno Lafon,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q18563874,Francis Nkwain,Q953447,RDPC,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355856,François Xavier Menye Ondo,Q953447,RDPC,Q857122,Région du Sud->Sud
->,Q111355858,Ganyoufa Fon Doh,Q953447,RDPC,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355859,Grégoire Mba Mba,,,Q857122,Région du Sud->Sud
->,Q111355861,Ignatus Bayin Dinga,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355872,Lucas Fontem Njifua,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355878,Maurice Amidou,,,Q502341,Province du Nord->Nord
->,Q111355879,Mbita Mvaebeme,,,Q857122,Région du Sud->Sud
->,Q41672851,Nicole Okala Bilaï->Nicole Okala Bilaî,,,Q739951,Centre
->,Q111355882,Njei Fon Teche,Q953447,RDPC,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355887,Paulette Bisseck,Q953447,RDPC,Q857122,Région du Sud->Sud
->,Q111355888,Payounni Bebnone,,,Q502341,Province du Nord->Nord
->,Q708023,Peter Mafany Musonge,Q953447,RDPC,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355889,Pierre Henri Ngallé Ngoa,Q953447,RDPC,Q857122,Région du Sud->Sud
->,Q111355891,Pierre Namio,,,Q502341,Province du Nord->Nord
->,Q111355893,Pierrette Hayatou,Q953447,RDPC,Q502341,Province du Nord->Nord
->,Q111355897,Rebecca Amah Ankie Affiong,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355899,Samuel Obam Assam,,,Q857122,Région du Sud->Sud
->,Q324886,Simon Achidi Achu,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355901,Simon Onjwo Chief An Jan,Q953447,RDPC,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355904,Stephen Yerima Jikong,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q111355906,Tabe Tando Ndiep Nso,,,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q43459010,Thérèse Eloumba Medjo,,,Q857122,Région du Sud->Sud
->,Q27755043,Victor Fon Mukete,Q953447,RDPC,Q607499,Région du Sud-Ouest->Sud-Ouest
->,Q111355910,Wanlo Chiamua John,,,Q823946,Région du Nord-Ouest->Nord-Ouest
->,Q98165743,Youssoufa Daoua,,,Q502341,Province du Nord->Nord
->,Q111355912,Yvonne Asta,,,Q502341,Province du Nord->Nord
->,Q111355913,Zacharie Awanga,,,Q823946,Région du Nord-Ouest->Nord-Ouest
