item,name,region,regionLabel,party,partyLabel
,Siroma Aboubakar,Q351514,Adamaoua,,
,Aboulahi Maikano,Q351514,Adamaoua,,
,Paul Haman,Q351514,Adamaoua,,
,Paul Maande,Q351514,Adamaoua,,
,Joël Nguimbe,Q351514,Adamaoua,,
Q39156067,Madeleine Haoua,Q351514,Adamaoua,,
,Tidjani Ahmadou,Q351514,Adamaoua,,
,Baba Hamadou,Q351514,Adamaoua,Q1470113,SDF
,Moussa Sambo,Q351514,Adamaoua,Q1470113,SDF
,Mohama Gabdo,Q351514,Adamaoua,Q1470113,SDF
,Sylvestre Naah Ondoua,Q739951,Centre,,
,Jean-Marie Mama,Q739951,Centre,,
,Elie Essomba Tsoungui,Q739951,Centre,,
,Pascal Anong Adibime,Q739951,Centre,,
Q24951660,Luc René Bell,Q739951,Centre,,
Q41672851,Nicole Okala Bilaî,Q739951,Centre,,
,Emmanuel Nemde,Q739951,Centre,,
,Laurent Nkodo,Q739951,Centre,Q953447,RDPC
,Pius Ondoua,Q739951,Centre,Q953447,RDPC
,Jean-Marie Pongmoni,Q739951,Centre,Q953447,RDPC
Q28655053,Charles Salé,Q845168,Est,,
Q41671751,Isabelle Tokpanou,Q845168,Est,,
,Monique Ouli Ndongo,Q845168,Est,,
,Badel Ndinga Ndinga,Q845168,Est,,
,Benjamin Amama Amama,Q845168,Est,,
,Marie-Claire Moampea,Q845168,Est,,
,Jean Mboundjo,Q845168,Est,,
,Joseph Mata,Q845168,Est,Q953447,RDPC
,René Ze Nguelle,Q845168,Est,Q953447,RDPC
,Marlyse Aboui,Q845168,Est,Q953447,RDPC
,Boukar Abba,Q823976,Extrême-Nord,,
Q28497636,Mahamat Abdoulkarim,Q823976,Extrême-Nord,,
,Hamadou Alioum Aladji,Q823976,Extrême-Nord,,
,Marava Abdoulaye Wouyack,Q823976,Extrême-Nord,,
,Julienne Djakaou,Q823976,Extrême-Nord,,
,Martin Amrakaye,Q823976,Extrême-Nord,,
,Manouf Mahamat Bhar,Q823976,Extrême-Nord,Q953447,RDPC
Q16188827,Jean-Baptiste Baskouda,Q823976,Extrême-Nord,Q953447,RDPC
,Daissala Dakole,Q823976,Extrême-Nord,Q953447,RDPC
Q39145253,Geneviève Tjoues,Q845172,Littoral,,
,Thomas Tobbo Eyoum,Q845172,Littoral,,
,Marie Armande Din Bell,Q845172,Littoral,,
Q97162227,Roger Victor Mbassa Ndine,Q845172,Littoral,,
,Simon Kingue,Q845172,Littoral,,
,Jean-Jules Ebongue Ngoh,Q845172,Littoral,,
,Claude Kemayou,Q845172,Littoral,,
,Songue Madiba,Q845172,Littoral,Q953447,RDPC
,David Etame Massoma,Q845172,Littoral,Q953447,RDPC
,Pierre Ngayap,Q845172,Littoral,Q953447,RDPC
Q98165743,Youssoufa Daoua,Q502341,Nord,,
,Pierre Namio,Q502341,Nord,,
Q2840847,Amadou Ali,Q502341,Nord,,
,Yvonne Asta,Q502341,Nord,,
,Payounni Bebnone,Q502341,Nord,,
,Maurice Amidou,Q502341,Nord,,
Q95725544,Aboubakary Abdoulaye,Q502341,Nord,Q953447,RDPC
,Pierrette Hayatou,Q502341,Nord,Q953447,RDPC
,Abbo Hamadou,Q502341,Nord,Q953447,RDPC
Q324886,Simon Achidi Achu,Q823946,Nord-Ouest,,
,David Wallang,Q823946,Nord-Ouest,,
,Ignatus Bayin Dinga,Q823946,Nord-Ouest,,
,Emma Eno Lafon,Q823946,Nord-Ouest,,
,Wanlo Chiamua John,Q823946,Nord-Ouest,,
,Zacharie Awanga,Q823946,Nord-Ouest,,
,Stephen Yerima Jikong,Q823946,Nord-Ouest,,
,Ganyoufa Fon Doh,Q823946,Nord-Ouest,Q953447,RDPC
,Francis Nkwain,Q823946,Nord-Ouest,Q953447,RDPC
,Njei Fon Teche,Q823946,Nord-Ouest,Q953447,RDPC
,Jean Tsomelou,Q165784,Ouest,,
,Bernard Tantse Tagne,Q165784,Ouest,,
,Paul Tchatchouang,Q165784,Ouest,,
,Delphine Metiedje Nguifo Tchetagne,Q165784,Ouest,,
,Etienne Sonkin,Q165784,Ouest,,
,Raoul Tchomnou,Q165784,Ouest,,
Q15819842,Ibrahim Mbombo Njoya,Q165784,Ouest,Q1470113,SDF
Q13468200,Marcel Niat Njifenji,Q165784,Ouest,Q1470113,SDF
,Victor Ndjomo Kamga,Q165784,Ouest,Q1470113,SDF
,Delphine Medjo,Q857122,Sud,,
,Calvin Zang Oyono,Q857122,Sud,,
,Samuel Obam Assam,Q857122,Sud,,
,Grégoire Mba Mba,Q857122,Sud,,
,Thérèse Eloumba Medjo,Q857122,Sud,,
,Mbita Mvaebeme,Q857122,Sud,,
,Pierre Henri Ngallé Ngoa,Q857122,Sud,Q953447,RDPC
,François Xavier Menye Ondo,Q857122,Sud,Q953447,RDPC
,Paulette Bisseck,Q857122,Sud,Q953447,RDPC
,Tabe Tando Ndiep Nso,Q607499,Sud-Ouest,,
,Rebecca Amah Ankie Affiong,Q607499,Sud-Ouest,,
,Lucas Fontem Njifua,Q607499,Sud-Ouest,,
,Daniel Matute,Q607499,Sud-Ouest,,
,Agnès Ndode Ntube,Q607499,Sud-Ouest,,
,Andrew Moffa Otte,Q607499,Sud-Ouest,,
,Charles Mbella Moki,Q607499,Sud-Ouest,,
Q708023,Peter Mafany Musonge,Q607499,Sud-Ouest,Q953447,RDPC
Q27755043,Victor Fon Mukete,Q607499,Sud-Ouest,Q953447,RDPC
,Simon Onjwo Chief An Jan,Q607499,Sud-Ouest,Q953447,RDPC
